y	x
8.600968955	378.6504265
4.149551935	493.1664064
6.571758507	496.1587783
25.28806721	671.0999369
15.41874352	662.4171671
0.852878014	482.9998174
59.81136663	856.5165779
9.27682356	623.3037349
45.55878914	674.5108322
34.6841586	694.4179937
6.922741568	277.7806139
7.897744036	450.6118825
6.076320462	508.4016205
43.32758692	562.714964
130.8749586	808.1770093
9.23523809	502.8087541
4.016179288	417.3900684
27.66231602	676.2276635
9.286640639	661.3814351
73.86923755	552.4900681
0.796931153	607.8326454
19.20818763	532.3735562
15.13125434	567.9176193
9.488944549	682.878579
5.5718648	698.1389824
3.314699504	414.9747355
38.45498748	650.2454649
5.80532866	444.9107033
2.311290716	540.6645917
8.815882683	488.1392502
5.496081619	715.159
1.765406085	367.6873973
10.95100797	664.5341291
8.43633208	442.5322615
0.359675303	417.4684691
21.55351119	554.8001308
53.92099429	1023.498848
145.2892294	731.0236313
5.219602233	534.2439295
14.13802858	466.7953911
7.031853361	756.4624256
3.351816725	579.902091
17.7360816	542.5128873
0.406434952	604.1557913
187.5420847	933.6471296
6.92832755	544.3964487
9.974472238	479.3966754
0.975163804	271.0687416
194.6225148	658.6099594
7.751997933	406.2170093
5.666231033	586.9146618
3.881720027	636.7908716
16.38588624	627.2879985
49.10117492	679.2152685
3.620969246	575.548007
12.26383001	321.6637532
8.563512966	491.6454019
9.863874806	508.9299126
3.263402404	297.1274224
12.98891966	571.4081025
1.763678647	289.4646853
6.314988502	488.9311134
4.775603841	562.4438609
23.89549244	566.3760371
26.9189943	683.6617646
5.290614526	521.5218841
37.32279292	489.1971585
12.39693206	791.3622546
13.17957262	677.4190865
19.04688019	647.6149972
4.186431642	556.4899582
52.20946388	663.8289615
78.43746714	925.039425
48.11188734	650.3575976
18.90533936	502.9906223
3.676836133	870.4553454
11.68869437	553.4199747
40.38906513	665.2374535
60.94606122	761.6833273
3.714132634	839.3160859
15.31192381	351.0351185
68.66891272	717.0956274
11.36568829	506.7717867
17.87059071	701.519318
3.160027484	797.9890713
28.67224668	719.0775713
5.327482629	549.0836594
1.067539883	680.0953494
47.21751351	725.4000251
55.0735972	705.6568251
9.16608376	699.0904375
11.00743559	520.3583232
17.0889328	592.6149867
12.88269849	590.6458809
0.341090624	415.1451967
34.42150071	656.7016342
1.04098189	315.8991744
6.370190652	799.5893085
10.13906427	607.41534
13.11395309	545.6238018
1.314819775	319.5073354
12.57884377	490.1608414
42.05354526	841.931616
33.90122841	680.6256408
1.831546363	468.2302975
8.451938353	631.0596105
1.941423163	690.6399956
6.517115529	539.0017538
28.21067995	645.4831273
60.17646585	729.8344507
0.615755744	466.755593
4.572652085	727.4348856
20.20286058	636.4641922
9.60560278	594.7283371
47.99350454	461.0984859
7.163961167	544.348432
23.68043944	769.2668263
99.40950946	665.2480317
93.77316474	806.5343762
18.46644996	659.9688356
0.121499396	395.9491641
41.9222978	751.5924516
54.29535024	750.8072697
76.25224095	1069.413362
11.75764482	659.3116518
4.484759545	629.773824
9.810928154	549.4136791
20.39947123	624.1363019
4.557323575	378.5922917
26.35067668	792.900446
19.09034529	657.4506367
8.849638312	440.9734566
